team,name,display-name,image-url,role
Netherlands,Justin Kluivert,Kluivert,https://img.uefa.com/imgml/TP/players/17/2026/324x324/250087443.jpg,outfield
Netherlands,Brobbey,Brobbey,,outfield
Barca Femeni,Gemma Font,Gemma,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250114726.jpg,goalkeeper
Barca Femeni,Cata Coll,Coll,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250097201.jpg,goalkeeper
Barca Femeni,Txell Font,Txell Font,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250155398.jpg,goalkeeper
Barca Femeni,Irene Paredes,Paredes,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250007458.jpg,outfield
Barca Femeni,Mapi León,Mapi León,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250041350.jpg,outfield
Barca Femeni,Laia Aleixandri,Aleixandri,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250081851.jpg,outfield
Barca Femeni,Marta Torrejón,Torrejón,https://img.uefa.com/imgml/TP/players/28/2026/324x324/105680.jpg,outfield
Barca Femeni,Ona Batlle,Batlle,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250081852.jpg,outfield
Barca Femeni,Aïcha Camara,Camara,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250178960.jpg,outfield
Barca Femeni,Iara Lobo,Lobo,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250183168.jpg,outfield
Barca Femeni,Lúa Arufe,Arufe,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250185747.jpg,outfield
Barca Femeni,María Barrera,Barrera,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250207210.jpg,outfield
Barca Femeni,Adriana Ranera,Ranera,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250165698.jpg,outfield
Barca Femeni,Martina González,Martina,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250183095.jpg,outfield
Barca Femeni,Alexia Putellas,Putellas,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250014179.jpg,outfield
Barca Femeni,Patri Guijarro,Patri,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250058203.jpg,outfield
Barca Femeni,Aitana Bonmatí,Bonmatí,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250065581.jpg,outfield
Barca Femeni,Clara Serrajordi,Serrajordi,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250192360.jpg,outfield
Barca Femeni,Vicky López,Vicky,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250165703.jpg,outfield
Barca Femeni,Rosalía Domínguez,Domínguez,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250185749.jpg,outfield
Barca Femeni,Noah Bezis,Bezis,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250166446.jpg,outfield
Barca Femeni,Martine Fenger,Fenger,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250180335.jpg,outfield
Barca Femeni,Ainoa Gómez,Gómez,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250183096.jpg,outfield
Barca Femeni,Carla Juliá,Juliá,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250214836.jpg,outfield
Barca Femeni,Sydney Schertenleib,Sydney,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250179162.jpg,outfield
Barca Femeni,Salma Paralluelo,Paralluelo,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250117796.jpg,outfield
Barca Femeni,Clàudia Pina,Pina,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250101503.jpg,outfield
Barca Femeni,Caroline Graham Hansen,Hansen,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250017153.jpg,outfield
Barca Femeni,Ewa Pajor,Pajor,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250027429.jpg,outfield
Barca Femeni,Kika Nazareth,Nazareth,https://img.uefa.com/imgml/TP/players/28/2026/324x324/250125142.jpg,outfield
